"id","authorlist","title"
"GF1","Gauri Karnik, Keiko Goto, Shannon Pierson, Joan Giampaoli","EXAMINATION OF CUE- ELICITED FOOD CRAVING AND EMOTIONAL EATING AMONG ELEMENTARY SCHOOL CHILDREN"
"GF2","Allen LaGrange, Kristen Kaczynski","A Comparison Between the Soil Seed Bank and Modern Vegetation in a Wet Meadow, Papoose Meadows, CA"
"GF3","Silena Barton-Wechsler, David L Stachura, Emily Ho, Lauren Housley","Effects of Zinc Supplementation on Carnitine and Lactate Concentrations in Cultured Liver Cells"
"GF4","Brandon Ertis, Carrie Monohan, Allan James, David Brown","Using LIDAR and ArcGIS to describe geomorphometric characteristics of historical hydraulic mining features along the North Fork of the Yuba River to inform ranking and prioritization efforts."
"GF5","Sommer Casady, Hannah Aird","Exploration of a High-Sulfidation Epithermal Deposit within the Antelope Valley Volcanic Center, Sierra County California"
"GF6","John Kelley, Carrie Monohan, Sandrine Matiasek, David Brown","Study of the Horse Valley Creek Debris Control Dam"
"GF7","Cindy Wolff, Keiko Goto, Naomi Stamper","Health Partnerships Optimize Community Health Needs Assessment Outcomes"
"GF8","Spencer J. Carroll, Michael G. Matiasek, Sandrine J. Matiasek","Pollutant Retention Analysis in a Biofiltration System"
"GF9","Ed Slattery, Troy Cline, Lauren Housley","Effects of sulforaphane in the tumor microenvironment of triple-negative breast cancer"
"GF10","Hannah Metzger, David Stachura","Differential Effects of bcl-2 Overexpression in Various B Lymphocyte Populations"
"GF11","Charles G. Brooke, Emily J. Fleming Nuester","The Effect of Biotic Iron Cycling on Mercury Transformations in an Estuarine Salt Marsh"
"GF12","Arturo Berrun, David Stachura","Ism-1 depletion negatively affects vertebrate hematopoiesis"
"GF13","Pablo Diaz, Grace Prator, Melissa French, David M. Keller","microRNA-375 has opposing effects on cell proliferation in pancreatic alpha and beta cells"
"GF14","Lauren Krohn, Joan Giampaoli, Keiko Goto, Matthew Stone, Jennifer Dye","Local Procurement in School Foodservice"
"GF15","Sean Lucas, Jay Smart","Using Modified False-Color Imagery to Emphasize Geologic Features in the Coyote Mountains, Imperial County, California (Research Update)"
"GF16","Donald Beck, Keerthana Sekar, Stacey Schultz-Cherry, Troy Cline","Highly Pathogenic H5N1 Influenza Virus Restricts IFN-Gamma Responses in Macrophages in a Replication-Dependent Manner"
"GF17","Shannon Pierson, Shelly Hart, Keiko Goto, Joan Giampaoli","Development and evaluation of the mindful eating questionnaire for children"
"GF18","Shannon Pierson, Keiko Goto, Joan Giampaoli, Alyson Wylie","Impact of a  pilot mindful eating intervention on food-related behaviors among elementary school students and parents"
"UF1","Dennis A. Hopelian, Sandrine J. Matiasek","Quantification of Hydrocarbons from Aqueous Samples by Gas Chromatography"
"UF2","Tanya Schmidt, Matt Boice, Omar Pulido, David Stachura","kal1b Reduction Decreases Vertebrate Blood Cells"
"UF3","Charles Payne, Daniel Wheeler, John Robertson","Measuring Femtosecond Molecular Dynamics"
"UF4","Alyssa Bowlsby, Joshua Gladfelder, Dr. Carolynn Arpin","Synthesis of a known binder of the GRB2 SH2 domain from naphthaldehyde"
"UF5","Elizabeth M. Pham, Gordon V. Wolfe","Determining the Surface Free Energy of Marine Alga Emiliania huxleyi with Spectrophotometry"
"UF6","Nancy De Witt, Ceara Purcell, Hannah Aird","Au and Ag Analysis of the Ann Mason Area, Yerington Nevada"
"UF7","Dylan Anderson, Gabrielle Cahill, Courtney Copper, Chad Faulk, Noah Sammuli, Michael Matiasek","BWELL - Biofiltration Wetland Educational and Living Laboratory"
"UF8","Chelsea L. Meddings","Efficacy of California Native Drought-tolerant Plants at Heavy Metal Removal from Urban Stormwater in Biofiltration Systems"
"UF9","Stephanie Aguiar, Sofia Rodriguez, Tina Hanson, David Stachura","Analysis of novel inhibitors of the GRB2 SH2 domain that decrease proliferation in chronic myeloid leukemia"
"UF10","Elizabeth Bianchini, Analucia Barragan Trejo, Raymond Bogiatto, Robin Donatello, Magdalena Plancarte, Walter Boyce, Troy Cline","Isolation and characterization of avian influenza viruses in Northern California"
"UF11","Connor J. Hutcherson, Dr. Monica C. So","Temperature dependence of solution processed Perovskite solar cells"
"UF12","Kyle Rocha-Brownell, Pierre Dérian, David Richter, Peter Sullivan, Shane Mayor","Evaluation of a Wavelet-Based Optical Flow Algorithm through the Use of Large Eddy Simulation"
"UF13","Matt Lemon, Amber Williams, Joshua Crane, Annie Valenschini, Dr. Lisa Ott, Dr. Janine Stone, Dr. Jude Bayham","DES Solvents from Biodiesel from Biodiesel Waste"
"UF14","Jeremy L. Barnett, Nicole D. Mackie, Dr. Monica C. So","The Effects of Water on Perovskite Solar Cells"
"UF15","Richard C. Vitamanti, Sandrine J. Matiasek","Media Effects on Nutrient Removal by Biofiltration Systems"
"UF16","William Mixter, Jason Mickel, Michael Doris, Joseph Levine, Logan Storm, Carissa Leville, Austin Pollard, Nathan Fullmer, Dr. Joseph Pechkis, Dr. Anna Petrova-Mayor, and Dr.  Hyewon. K. Pechkis","The Coolest Matter in the Universe: A Pathway to Ultracold Atoms and Bose-Einstein Condensates"
"UF17","Charlotte Park, Jacob Kalbfleisch, Joshua Gladfelder, Dr. David Ball","Synthesis of a degradation product of a herbicide, Benzobicyclon"
"UF18","Angelica Rodriguez, Chris Allen, Rachel Teasdale","Monitoring hydrothermal water temperature and composition at the Lassen Volcanic Center (LVC), Southern Cascades"
"UF19","Xochith Herrera, Manher Jariwala, Jayson Nissen, Eleanor Close, Ben Van Dusen
","Participation Rates of In-class vs. Online Administration of Concept Inventories and Attitudinal Assessments"
"UF20","Michael R. Smith, Ricardo A. Aguilar, Vivien Cherrette, Ami Rose, Charlotte Park, Joshua Crane, Emily Bladorn, Harrison Mills, Sisarie Sherry, Courtney Chatha, Heejune Park, Hannah Dailey, Dr. Robin A. Donatello*, Dr. Erik C. Wasinger*","Implementing a Flipped Classroom and Active Learning Techniques in General Chemistry to Augment Student Success at a Mid-sized Rural University"
"UF21","Tabitha Schempp, Megan Keener, Dr. David Ball","Studies towards the synthesis of duryne and its homologues"
"UF22","Nicholas Eisemann, Camille Pensabene, Dylan Gouthro, Demond Handley, MyDoris Soto","No Punt Intended"
"UF23","Chad Dodge, Rachel Teasdale, Jennifer Wenner (University of Wisconsin, Oshkosh)","Groundmass Crystallinities of Proximal and Distal Lavas of the Poison Lake Chain in the Lassen Region of the Southern Cascades"
"UF24","Cassie Havens, Emily Egusa, Tara Burns, My Lo Thao, Daniel Edwards, Larry Hanne, Larry Kirk","Induction Studies of PHB Depolymerase in Acidovorax and Pseudomonas"
"UF25","Malory Brown, Emily J. Fleming Nuester","What is a key autotrophic enzyme doing in a metal-oxidizing heterotrophic bacterium?"
"UF26","Jongwoo Choi, Robin Donatello","A simulation study to compare bias among common Edit and Imputation methods"
