"Category","ID","author","title"
"F",1,"Van Dusen B, CSU Chico, Chico, CA","LEARNING ASSISTANT SUPPORTED STUDENT OUTCOMES (LASSO)"
"F",2,"Atwell LL, CSU Chico, Chico, CA; Zhang Z, Oregon Health & Science University, Portland, OR; Mori M, Oregon Health & Science University, Portland, OR; Farris P, Oregon Health & Science University, Portland, OR; Vetto JT, Oregon Health & Science University, Portland, OR; Naik AM, Oregon Health & Science University, Portland, OR; Oh KY, Oregon Health & Science University, Portland, OR; Thuillier P, Oregon Health & Science University, Portland, OR; Ho E, Oregon State University, Corvallis, OR; Shannon J, Oregon Health & Science University, Portland, OR","SULFORAPHANE BIOAVAILABILITY AND CHEMOPREVENTIVE ACTIVITY IN WOMEN SCHEDULED FOR BREAST BIOPSY"
"F",3,"Shapiro R, CSU Chico, Chico, CA; LaLonde, S CNRS-­Laboratoire Domaines Océaniques, Plouzané, France","KINGSTON PEAK IRON FORMATION (NEOPROTEROZOIC, MOJAVE DESERT): TECTONICS NOT SNOWBALLS"
"GF",1,"Berrun A,  CSU Chico, Chico, CA; Stachura DL, CSU Chico, Chico, CA","NOVEL GENES IN VERTEBRATE HEMATOPOESIS"
"GF",2,"Brooke CG, CSU Chico, Chico CA; Fleming EJ, CSU Chico, Chico CA","MOBILIZING MERCURY WITH MICROBIAL RUST"
"GF",3,"Vasquez CA CSU Chico, Chico, CA; Clifford DE CSU Chico, Chico, CA; Neyman Morris M CSU Chico, Chico, CA; Mauldin K CSU San Jose, San Jose, CA","DIETING AND WEIGHT CYCLING ARE ASSOCIATED WITH WEIGHT STIGMA"
"GF",4,"Metzger H, CSU Chico, Chico CA; Stachura DL, CSU Chico, Chico CA","DIFFERENTIAL EFFECTS OF BCL-2 OVER-EXPRESSION IN MULTIPLE HEMATOPOIETIC CELL LINEAGES"
"GF",5,"Smith JS, CSU, Chico, Arpin C, CSU, Chico, Stachura DL, CSU, Chico","THE ROLE OF GROWTH RECEPTOR BOUND PROTEIN-2 (GRB2) IN ACUTE MYELOID LEUKEMIA (AML)"
"GF",6,"Kolstad J.J, Kaczynski K., Riggins S., Matiasek S. CSU Chico, Chico CA","DISTRIBUTION AND SOURCE IDENTIFICATION OF POLYCHLORINATED DIBENZO-P-DIOXINS AND POLYCHLORINATED DIBENZOFURANS IN SURFACE SOILS AND CHICKEN EGGS IN THE VICINITY OF OROVILLE, CALIFORNIA"
"GF",7,"McClure J, CSU Chico, Chico CA; Clifford D, CSU Chico, Chico, CA; Morris M CSU Chico Chico, CA; Cootsona G, CSU Chico, Chico, CA","DEVELOPMENT, IMPLEMENTATION AND EVALUATION OF A FAITH BASED HEALTH AT EVERY SIZE (HAES) INTERVENTION"
"GF",8,"Rosshirt LB, CSU Chico, Chico, CA; Holland J, CSU Chico, Chico, CA; Hart S, CSU Chico, Chico, CA; Giovanni M, CSU Chico, Chico, CA; Giampaoli J, CSU Chico, Chico, CA; ","THE ASSOCIATION BETWEEN PICKY EATING AND VEGETABLE PREFERENCE WITH BITTER TASTER STATUS, PARENTAL FEEDING PRACTICES, AND BREASTFEEDING EXPERIENCES AMONG PRESCHOOL CHILDREN"
